dataset,positive_class,negative_class,seed,loss,best_epoch,best_val_loss,train_n_positive,train_n_negative,pos_weight,epochs_run,threshold,Precision_Bombus,Recall_Bombus,F1_Bombus,Precision_Apis,Recall_Apis,F1_Apis,F2_Apis,Macro_F1,Accuracy,Balanced_Accuracy,MCC,AUC,Average_Precision,Brier,ECE,Log_Loss,Prob_Mean_All,Prob_SD_All,Prob_Mean_Bombus,Prob_SD_Bombus,Prob_Mean_Apis,Prob_SD_Apis,Probability_Collapse,Single_Class_Prediction,TN,FP,FN,TP,N_Test,N_Test_Positive,N_Test_Negative,runtime_seconds
BeeSpotter,Apis,Bombus,42,Soft-F2,1,0.43372775753625004,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.502918362809154,0.20922408401391968,0.791771477030645,0.791771024440538,12.578471714696677,0.9999994039535522,1.6583117030677386e-05,0.9999998807907104,1.3579137885244563e-06,0.9999971985816956,3.6162538890494034e-05,True,True,0,943,0,248,1191,248,943,4.589787721633911
BeeSpotter,Apis,Bombus,42,Weighted BCE,4,1.0787506635240514,463,1759,3.799136069114471,9,0.46,0.8672839506172839,0.2979851537645811,0.4435674822415154,0.2364475201845444,0.8266129032258065,0.36771300448430494,0.551371705217859,0.40564024336291016,0.4080604534005038,0.5622990284951939,0.11368702525206179,0.6093391885882393,0.299584070474717,0.254514381650276,0.305340187950959,0.7027162205179661,0.5135685801506042,0.08264151215553284,0.5069901943206787,0.08026523888111115,0.538582444190979,0.08666794002056122,False,False,281,662,43,205,1191,248,943,4.173062324523926
BeeSpotter,Apis,Bombus,73,Soft-F2,1,0.4331261880106206,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5015906680805938,0.20875420875420875,0.7917716182849674,0.7917716204869858,12.619477773062682,1.0,2.2118014086913718e-08,1.0,2.4856856128963045e-08,1.0,0.0,True,True,0,943,0,248,1191,248,943,3.06072735786438
BeeSpotter,Apis,Bombus,73,Weighted BCE,8,1.0386805568667625,463,1759,3.799136069114471,13,0.53,0.8114558472553699,0.721102863202545,0.7636159460976979,0.254957507082153,0.3629032258064516,0.2995008319467554,0.3345724907063197,0.5315583890222266,0.6465155331654072,0.5420030445044983,0.07469354828808165,0.5873670167276707,0.29774867506718994,0.23303565059650228,0.25808347654032365,0.6582424024710405,0.46631187200546265,0.12035029381513596,0.45814982056617737,0.11634401977062225,0.4973473846912384,0.12989751994609833,False,False,680,263,158,90,1191,248,943,6.183610677719116
BeeSpotter,Apis,Bombus,101,Soft-F2,1,0.4335701941586227,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5085904628330997,0.2111324829935706,0.7917715710690943,0.7917714416730515,12.606754861152742,0.9999998211860657,5.2343243623909075e-06,1.0,5.826734081892937e-07,0.9999991655349731,1.1390151485102251e-05,True,True,0,943,0,248,1191,248,943,3.0124263763427734
BeeSpotter,Apis,Bombus,101,Weighted BCE,4,1.078734137171464,463,1759,3.799136069114471,9,0.54,0.8461538461538461,0.43160127253446445,0.5716292134831461,0.24507042253521127,0.7016129032258065,0.36325678496868474,0.5111633372502937,0.4674429992259154,0.4878253568429891,0.5666070878801355,0.11023776922065447,0.594191495912154,0.27001456331071083,0.2842003369069767,0.3488533166053413,0.7632437513590807,0.5570816397666931,0.06422959268093109,0.5529813766479492,0.06344953179359436,0.5726729035377502,0.06478531658649445,False,False,407,536,74,174,1191,248,943,4.135476112365723
BeeSpotter,Apis,Bombus,137,Soft-F2,1,0.4369917121722544,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5022085485581363,0.20896486935956138,0.7917715970656147,0.7917716204869858,12.612599976438387,1.0,3.1859755722507543e-07,1.0,2.6508610062592197e-07,1.0,4.693274320288765e-07,True,True,0,943,0,248,1191,248,943,3.59086275100708
BeeSpotter,Apis,Bombus,137,Weighted BCE,2,1.0798883523872431,463,1759,3.799136069114471,7,0.46,0.825925925925926,0.23647932131495228,0.3676834295136026,0.2182410423452769,0.8104838709677419,0.3438836612489307,0.5253528489283847,0.35578354538126666,0.35600335852225024,0.523481596141347,0.04554362549758365,0.5860671159306264,0.2858553168171013,0.24079190037886988,0.2797984452331696,0.6746354791359562,0.48802679777145386,0.03802343085408211,0.4856205880641937,0.03690353035926819,0.49717631936073303,0.040732238441705704,False,False,223,720,47,201,1191,248,943,3.457979440689087
BeeSpotter,Apis,Bombus,211,Soft-F2,1,0.43147944717956105,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5128450723497417,0.21258784477485188,0.791771391107534,0.7917713224637619,12.580963487116167,0.9999997019767761,5.549543402594281e-06,0.9999998807907104,1.8904328271673876e-06,0.9999992847442627,1.1577232726267539e-05,True,True,0,943,0,248,1191,248,943,3.0876076221466064
BeeSpotter,Apis,Bombus,211,Weighted BCE,5,1.0704793715648513,463,1759,3.799136069114471,10,0.51,0.8382789317507419,0.5991516436903499,0.6988249845392702,0.2688588007736944,0.5604838709677419,0.3633986928104575,0.46056991385023194,0.5311118386748639,0.5910999160369438,0.579817757329046,0.1307783891582985,0.5916301782232408,0.2821719335773714,0.24857327465434187,0.2941083228958444,0.6904011542196606,0.5023367404937744,0.06137865036725998,0.49819216132164,0.05981437489390373,0.5180960893630981,0.06461057811975479,False,False,565,378,109,139,1191,248,943,5.0956971645355225
